workID,DESCR,X,Y,Shape_Length,Shape_Area
237849,Commercial/Mixed Use,549144.4589,5277441.243,7.008907284,2.40246185
237860,Commercial/Mixed Use,548973.0681,5277932.114,22.99908604,24.02451565
237865,Commercial/Mixed Use,549058.1722,5278266.456,13.41738447,8.261354416
237867,Commercial/Mixed Use,548670.4278,5277833.734,20.09059056,12.66269415
237876,Commercial/Mixed Use,549037.1186,5278259.736,37.59873839,35.08489045
237877,Commercial/Mixed Use,549042.3346,5278281.803,13.77704938,10.31947166
237878,Commercial/Mixed Use,549058.3706,5278256.707,13.88378353,8.595355213
237884,Commercial/Mixed Use,549218.9449,5277744.138,19.43009585,16.58134765
237951,Manufacturing/Industrial,550519.9417,5277943.525,21.59472621,23.98792886
237964,Commercial/Mixed Use,549484.0699,5277585.937,28.3966034,30.0694963
238008,Commercial/Mixed Use,550004.3258,5277406.622,40.08115561,17.36738413
238021,Commercial/Mixed Use,549771.667,5277414.703,30.22968497,25.1974912
238025,Commercial/Mixed Use,549881.0367,5278210.012,12.990484,6.609202232
238054,Commercial/Mixed Use,550035.2945,5278837.047,50.79821725,73.65389702
238058,Commercial/Mixed Use,549788.5477,5277312.674,24.63588707,14.25540085
238080,Commercial/Mixed Use,549828.5852,5277431.045,16.56197396,8.692535791
238081,Commercial/Mixed Use,549823.4051,5277406.75,12.56728582,3.554531166
238093,Commercial/Mixed Use,549401.5096,5278588.806,15.7066383,8.202982693
238094,Commercial/Mixed Use,549411.9661,5278586.197,10.10468967,4.364358415
238095,Commercial/Mixed Use,549421.898,5278586.042,10.32190729,5.300037554
238096,Commercial/Mixed Use,549426.3656,5278618.902,9.278276148,4.244973717
238110,Commercial/Mixed Use,548724.9109,5277784.226,10.01399969,4.451339146
238111,Manufacturing/Industrial,549345.0721,5277574.001,25.41688943,30.36271493
238112,Manufacturing/Industrial,548861.7755,5277399.434,22.79049827,26.77320409
238113,Commercial/Mixed Use,549140.1652,5277513.231,13.4782739,10.22477608
238114,Commercial/Mixed Use,549772.3365,5277332.436,26.23639085,12.52262503
238115,Commercial/Mixed Use,549786.5833,5277332.3,31.71372272,16.46869308
238116,Commercial/Mixed Use,549802.1177,5277332.708,11.09962508,6.485379968
238117,Commercial/Mixed Use,549809.6012,5277332.825,10.48490186,6.019217569
238118,Commercial/Mixed Use,549817.6785,5277332.817,10.3085329,5.847813642
