,time,xCoord,yCoord
320,25,548696.716,5275707.097
321,29,548156.1327,5276135.413
322,26,548156.1327,5276135.413
323,21,545787.7997,5278312.904
324,19,548262.8964,5276057.837
325,17,548262.8964,5276057.837
326,28,548156.1327,5276135.413
327,16,548156.1327,5276135.413
328,27,547928.4415,5275668.546
329,26,547651.2337,5276541.26
330,26,548731.3349,5277222.678
331,28,548370.6352,5275939.835
332,21,548156.1327,5276135.413
333,29,548370.6352,5275939.835
334,12,548170.2863,5277185.829
335,23,549369.9872,5275336.214
336,25,549369.9872,5275336.214
337,21,549369.9872,5275336.214
338,27,548900.8684,5276342.3889999995
339,29,548938.6379,5276377.348
340,22,548300.3869,5277286.222
341,19,548300.3869,5277286.222
342,14,548307.2347,5277364.8889999995
343,21,548156.1327,5276135.413
344,26,548214.5087,5277089.473999999
345,23,548170.2863,5277185.829
346,27,548348.2063,5276422.391
347,26,548156.1327,5276135.413
348,29,548170.2863,5277185.829
349,22,548265.5605,5276134.803
350,25,547907.4974,5275608.16
351,24,547930.1188,5276890.959
352,21,548170.2863,5277185.829
353,24,548307.2347,5277364.8889999995
354,15,548156.1327,5276135.413
355,26,548262.8964,5276057.837
356,26,548262.8964,5276057.837
357,28,548156.1327,5276135.413
358,29,548902.5576,5276267.949
359,24,548339.1555,5275855.904
360,24,548047.9299,5276473.546
361,11,548817.9768,5276225.299
362,23,548696.716,5275707.097
363,25,548047.9299,5276473.546
364,29,549177.4054,5276721.322
365,26,548790.9991,5276897.0
366,29,548915.7204,5276065.874
367,28,548888.9354,5276317.3319999995
368,28,548995.6968,5275095.791999999
369,27,548353.0962,5277366.15
370,18,548220.3227,5275499.85
371,29,547680.6639,5276216.391
372,25,548307.2347,5277364.8889999995
373,28,547680.6639,5276216.391
374,21,548156.1327,5276135.413
375,24,547757.6185,5276124.205
376,29,547919.4816,5275652.865
377,29,548220.3227,5275499.85
378,12,548265.0776,5277478.3780000005
379,11,546879.5093,5277571.084
380,24,548170.2863,5277185.829
381,23,548170.2863,5277185.829
382,25,548170.2863,5277185.829
383,17,548047.9299,5276473.546
384,23,548140.9513,5276468.619
385,14,548374.8712,5277371.061000001
386,24,548264.7945,5275856.566000001
387,25,548265.5605,5276134.803
388,4,548220.3227,5275499.85
389,7,548066.1059,5275671.812
390,20,548819.0714,5276147.645
391,22,548819.0714,5276147.645
392,13,548902.5576,5276267.949
393,28,548731.3349,5277222.678
394,20,548170.2863,5277185.829
395,23,548225.9079,5277164.594
396,13,548790.9991,5276897.0
397,15,548170.2863,5277185.829
398,22,548156.1327,5276135.413
399,13,548888.9354,5276317.3319999995
400,24,549245.3065,5275314.288
401,19,549369.9872,5275336.214
402,25,549369.9872,5275336.214
403,25,549369.9872,5275336.214
404,17,548902.5576,5276267.949
405,4,548629.817,5277338.624
406,27,548170.2863,5277185.829
407,22,548156.1327,5276135.413
408,26,548156.1327,5276135.413
409,29,547964.6394,5276422.443
410,17,548156.1327,5276135.413
411,16,547790.1999,5276183.843
412,10,548156.1327,5276135.413
413,24,547788.3544,5274749.535
414,15,547788.3544,5274749.535
415,15,548220.3227,5275499.85
416,17,548353.0962,5277366.15
417,25,548790.9991,5276897.0
418,27,548307.2347,5277364.8889999995
419,27,548498.3958,5277374.057
420,10,548048.4016,5276454.796
421,22,548039.3045,5276086.874
422,19,548039.3045,5276086.874
423,11,548262.8964,5276057.837
424,8,548621.77,5276406.237
425,5,548621.77,5276406.237
426,29,548696.716,5275707.097
427,25,548833.406,5277133.088
428,24,548170.2863,5277185.829
429,15,548170.2863,5277185.829
430,13,548302.2475,5277574.283
431,23,549369.9872,5275336.214
432,25,548696.716,5275707.097
433,23,549285.7638,5275341.409
434,18,548696.716,5275707.097
435,24,548696.716,5275707.097
436,21,548353.0962,5277366.15
437,29,548923.241,5276327.859
438,24,549369.9872,5275336.214
439,23,548047.9299,5276473.546
440,23,548353.0962,5277366.15
441,24,548744.9198,5277085.931
442,13,548833.406,5277133.088
443,20,548744.9198,5277085.931
444,9,546323.2017,5277355.357
445,21,545787.7997,5278312.904
446,19,545787.7997,5278312.904
447,24,548696.716,5275707.097
448,24,548156.1327,5276135.413
449,27,547833.1252,5275857.326
450,16,547680.6639,5276216.391
451,20,547764.7255,5275946.44
452,23,547680.6639,5276216.391
453,26,547742.3947,5276147.437
454,28,548156.1327,5276135.413
455,24,548156.1327,5276135.413
456,26,547651.2337,5276541.26
457,29,548737.8541,5277213.33
458,29,548307.2347,5277364.8889999995
459,18,548170.2863,5277185.829
460,7,548353.0962,5277366.15
461,5,548368.3273,5277292.993
